name,RSG
ADA,NG_007385.1
AICDA,NG_011588.1
AIRE,NG_009556.1
AK2,NG_016269.1
AP3B1,NG_007268.1
BIRC4,NG_007264.1
BLM,NG_007272.1
BLNK,NG_007575.1
BTK,NG_009616.1
C1QA,NG_007282.1
C1QB,NG_007283.1
C1QC,NG_007565.1
C1S,NG_011694.1
C2,NG_011730.1
C3,NG_009557.1
C5,NG_007364.1
C6,NG_011582.1
C7,NG_011692.1
C8B,NG_007285.1
C9,NG_009894.1
CARD9,NG_021197.1
CASP10,NG_007265.1
CASP8,NG_007497.1
CD19,NG_007275.1
CD247,NG_007384.1
CD3D,NG_009891.1
CD3E,NG_007383.1
CD3G,NG_007566.1
CD40,NG_007279.1
CD40L,NG_007280.1
CD55,NG_007465.1
CD59,NG_008057.1
CD79A,NG_009619.1
CD79B,NG_007368.1
CD8A,NG_011608.2
CEBPE,NG_009617.1
CFD,NG_007274.1
CFH,NG_007259.1
CFI,NG_007569.1
CFP,NG_009893.1
CIITA,NG_009628.1
CTSC,NG_007952.1
CXCR4,NG_011587.1
CYBA,NG_007291.1
CYBB,NG_009065.1
DCLRE1C,NG_007276.1
DKC1,NG_009780.1
DNMT3B,NG_007290.1
ELA2,NG_009627.1
FASLG,NG_007269.1
FCGR1A,NG_007578.1
FCGR3A,NG_009066.1
FERMT3,NG_016360.1
FOXN1,NG_007260.1
FOXP3,NG_007392.1
G6PC3,NG_015818.1
GFI1,NG_007874.1
HAX1,NG_007369.1
ICOS,NG_011586.1
IFNGR1,NG_007394.1
IFNGR2,NG_007570.2
IGHG2,
IGHM,
IGLL1,NG_009791.1
IKBKG,NG_009896.1
IL12B,NG_009618.1
IL12RB1,NG_007366.2
IL2RA,NG_007403.1
IL7R,NG_009567.1
IRAK4,NG_009892.1
ITGB2,NG_007270.2
JAK3,NG_007273.1
LIG1,NG_007395.1
LIG4,NG_007396.1
LRRC8A,NG_009630.1
LYST,NG_007397.1
MAPBPIP,NG_009898.1
MASP2,NG_007289.2
MLPH,NG_007286.1
MPO,NG_009629.1
MRE11A,NG_007261.1
MYO5A,NG_009887.1
NCF1,NG_009078.2
NCF2,NG_007267.1
NFKBIA,NG_007571.1
NHEJ1,NG_007880.1
NP,NG_009631.1
NRAS,NG_007572.1
ORAI1,NG_007500.1
PIK3R1,NG_012849.2
PRF1,NG_009615.1
PRKDC,NG_023435.1
PTPN11,NG_007459.1
PTPRC,NG_007730.2
RAB27A,NG_009103.1
RAC2,NG_007288.1
RAD50,NG_021151.2
RAG1,NG_007528.1
RAG2,NG_007573.1
RASA1,NG_011650.1
RASGRP2,NG_007574.1
RFX5,NG_007576.1
RFXANK,NG_007432.1
RFXAP,NG_007876.1
RNF168,NG_023425.1
SBDS,NG_007277.1
SERPING1,NG_009625.1
SH2,
SH2D1A,NG_007464.1
SLC35C1,NG_009875.1
SMARCAL1,NG_009771.1
SP110,NG_008295.1
SPINK5,NG_009633.1
STAT1,NG_008294.1
STAT2,NG_046314.1
STAT3,NG_007370.1
STAT5B,NG_007271.1
STIM1,NG_016277.1
STX11,NG_007613.1
STXBP2,NG_016709.1
TAP1,NG_011759.1
TAP2,NG_009793.4
TAPBP,NG_009876.1
TAZ,NG_009634.2
TCIRG1,NG_007878.1
TCN2,NG_007263.1
TLR3,NG_007278.1
TMC6,NG_007879.1
TMC8,NG_007881.1
TNFRSF13B,NG_007281.1
TYK2,NG_007872.1
UNC13D,NG_007266.1
UNC93B1,NG_007581.1
UNG,NG_007284.1
WAS,NG_007877.1
ZAP70,NG_007727.1
